E(keV)	Px(MeV/c)	Py(MeV/c)	Pz(MeV/c)	X(mm)	Y(mm)	Z(mm)	T(ns)
0.00565335	0.0563667	0.00964275	1.09152	-2.60934	-0.235335	-1.49009e-09	479.868	
0.00562333	0.0134569	0.0337175	1.0895	-0.0383381	-0.0459089	-1.49009e-09	474.542	
0.00564097	0.00415024	0.00113018	1.09181	0.0942552	-1.59824	-1.49009e-09	475.592	
0.00565223	0.000436111	0.00204908	1.0929	-0.819211	0.381716	-1.49009e-09	478.521	
0.00564017	0.0415815	-0.0108521	1.09089	0.766662	-0.185719	-1.49009e-09	476.33	
0.00562922	0.00528653	-0.0200863	1.09048	0.0197857	-1.1222	-1.49009e-09	474.505	
0.00563971	0.0278039	0.0103358	1.09129	0.243193	-1.39379	-1.49009e-09	475.947	
0.00564905	0.00108009	-0.00379203	1.09259	-0.712496	1.98381	-1.49009e-09	477.148	
0.00563721	0.0140777	-0.00345842	1.09136	-0.198619	0.41305	-1.49009e-09	475.102	
0.00563654	0.0526315	0.00624841	1.0901	-2.89042	-0.582025	-1.49009e-09	477.136	
0.0056548	-0.0183229	0.00111318	1.093	-0.101203	0.0203588	-1.49009e-09	478.575	
0.005644	-0.026831	-0.0232179	1.09153	-2.06492	0.00125957	-1.49009e-09	477.726	
0.00563928	0.033654	0.0250547	1.09085	-1.04272	0.353392	-1.49009e-09	476.515	
0.0056504	0.00104321	0.00212619	1.09273	-0.831833	1.01371	-1.49009e-09	477.444	
0.00565017	0.00320675	0.0250226	1.09242	0.110075	-0.650169	-1.49009e-09	477.895	
0.0056333	0.00300551	0.0112575	1.09101	0.0835373	0.330042	-1.49009e-09	474.472	
0.00565619	0.0190763	0.00704701	1.0931	-0.71401	0.706525	-1.49009e-09	479.196	
0.00563241	-0.000619787	-0.0151429	1.09088	0.0118638	0.984426	-1.49009e-09	474.445	
0.0056539	0.0635051	0.00344631	1.09122	-2.70487	-0.528241	-1.49009e-09	480.725	
0.00564056	0.018881	-0.00644794	1.09159	-0.282042	1.55747	-1.49009e-09	475.83	
0.00563986	0.0447798	-0.00601302	1.09077	-1.166	0.159671	-1.49009e-09	477.501	
0.00565364	-0.0155446	0.00644896	1.09291	-0.0257198	-0.303267	-1.49009e-09	479.161	
0.0056408	-0.0529871	-0.0193132	1.09034	2.07292	1.18479	-1.49009e-09	476.304	
0.00564884	-0.0312297	0.030992	1.09169	-0.230061	-0.678879	-1.49009e-09	478.916	
0.00563585	0.023426	-0.020903	1.09087	-1.36121	-0.994483	-1.49009e-09	475.267	
0.00563314	0.0112539	0.0274507	1.09066	-0.0423471	0.28232	-1.49009e-09	475.206	
0.00565513	0.0353013	-0.00764482	1.09259	-0.109548	-0.104295	-1.49009e-09	480.02	
0.00565254	0.00309374	0.0111363	1.09287	1.0227	1.0121	-1.49009e-09	477.655	
0.00563422	-0.0439171	0.00165843	1.09028	0.567937	0.296179	-1.49009e-09	476.526	
0.00563909	-0.0312076	0.013809	1.0911	-2.45005	1.63745	-1.49009e-09	477.042	
0.00565192	-0.0250405	0.0160766	1.09247	0.441849	0.932954	-1.49009e-09	479.355	
0.00565358	0.0279362	0.0127221	1.0926	1.65821	1.04667	-1.49009e-09	479.309	
0.00563665	-0.00851164	0.00582373	1.09135	1.54393	-0.583799	-1.49009e-09	475.379	
0.00564266	-0.00592871	-0.00131343	1.09196	-0.0535935	0.230521	-1.49009e-09	476.531	
0.00564058	0.00254775	-0.0193385	1.0916	-1.14395	-1.12849	-1.49009e-09	476.637	
