25.9318	7.2327	1.1	-5.1855	6.7521	2.6577	0.0468	-0.284638	-0.0637768	-1.89762	0.630462	550	-295.1	-153541	-16066.2	-40459.5	-77759.6	3.08699e+06	3.07833e+06	0.000395759
2.3497	12.7702	1.7104	0.1291	-2.1249	6.6403	0.0286	-0.169637	171.767	-0.0875927	12.2525	550	-295.1	-12244	244207	-67177.6	14857.4	3.09009e+06	1.14429e+06	0.00039258
66.067	6.3482	1.397	-6.1771	1.9789	1.9539	0.027	1e+10	-0.958164	1e+10	-0.125905	1e+10	-295.1	1e+10	26171.1	1e+10	-21198.3	1e+10	3.07888e+06	1e+10
-4.3837	3.6057	1.3112	4.5384	-6.5445	3.7283	0.0455	0.575649	-0.441584	-1.02781	-0.267359	550	-295.1	21124.4	24180.9	-15980.2	-8695.19	3.09139e+06	3.07358e+06	0.000392276
-4.0196	1.4732	4.639	-2.6346	2.6184	7.3286	0.0397	-0.586306	-2.23352	0.516662	-1.04198	550	-295.1	22594.3	270189	-9061.14	137583	3.0847e+06	3.05369e+06	0.000389239
-27.1125	-14.1386	0.3261	-0.7561	-2.2312	3.4918	0.0104	4.83618	0.486255	4.97016	0.441121	550	-295.1	178780	-43976.2	88290.7	49805.1	3.08612e+06	3.07191e+06	0.000397523
7.0917	-8.1807	4.1866	-4.8489	-8.2436	3.0614	0.0593	-1.17115	0.61812	-1.35092	-0.583378	550	-295.1	-34958.6	-119370	47461.6	73428.3	3.08495e+06	3.06985e+06	0.000390945
18.2395	-11.0638	4.9442	6.4734	2.5867	3.6143	0.0362	-0.681913	-0.337065	3.09552	-0.146558	550	-295.1	-100723	94214.4	54698.9	27057.9	3.08264e+06	3.07085e+06	0.000391101
-15.4189	-4.4829	4.5642	4.4258	1.0476	6.0276	0.0335	1.26244	-0.44793	0.918464	0.341421	550	-295.1	79837.9	613.065	22333.3	-47242.8	3.08375e+06	3.07744e+06	0.000390556
-0.476	8.0263	2.1238	-0.7431	3.0295	4.3186	0.0167	-0.1302	-0.694786	0.981677	0.860449	550	-295.1	2870.77	97051.7	-44480.1	-7940.33	3.08987e+06	3.07474e+06	0.000392014
-15.5037	0.7967	2.6853	-5.6494	1.0145	6.6032	0.045	-0.933366	-0.342546	0.0283041	0.275934	550	-295.1	86550.1	-5109.7	-4571.78	-21881.7	3.08804e+06	3.07697e+06	0.000392236
0.5447	3.6766	2.5128	-0.7464	1.0839	2.5119	0.0047	-0.116277	0.0443588	0.411064	0.121769	550	-295.1	-2530.94	-24824.1	-20091.8	-33254.8	3.08907e+06	3.07644e+06	0.000391684
4.0162	5.4431	2.9953	0.1745	1.4856	2.2813	0.0044	0.105351	-0.401759	0.421578	0.509336	550	-295.1	-21341.8	81320.3	-29606.8	-16374.2	3.08873e+06	3.07973e+06	0.000391735
-13.6813	2.3991	0.1727	3.2002	-4.9258	3.1945	0.0263	-0.00707276	-0.970166	-1.11372	-0.541241	550	-295.1	71811.6	169823	-9877.11	13961.5	3.09147e+06	3.07204e+06	0.000394688
-24.3155	-2.0177	2.6632	-2.7665	6.9465	4.476	0.0446	-0.876918	-1.7107	1.80337	0.0443498	550	-295.1	146872	183705	6122.79	-22967.9	3.08454e+06	3.07339e+06	0.000394061
-25.9288	3.0819	1.8434	0.6735	-4.6596	5.4205	0.0303	-0.351246	0.130474	-1.95606	0.101514	550	-295.1	158804	47247.9	-12681.2	88304	3.08658e+06	3.07722e+06	0.000395012
