25.9318	7.2327	1.1	-5.1855	6.7521	2.6577	0.0468	-0.284638	-1.71289	-1.89762	-0.00631802	550	-295.1	-153541	-177387	-40459.5	-50194.3	3.08699e+06	3.07512e+06	0.000395759	0.000397609	
2.3497	12.7702	1.7104	0.1291	-2.1249	6.6403	0.0286	-0.169637	-0.132721	-0.0875927	-0.426319	550	-295.1	-12244	-15153.3	-67177.6	-80041.4	3.09009e+06	3.0778e+06	0.00039258	0.000396958	
66.067	6.3482	1.397	-6.1771	1.9789	1.9539	0.027	1e+10	143.134	1e+10	14.7772	1e+10	-295.1	1e+10	184870	1e+10	19645.5	1e+10	1.20186e+06	1e+10	0.000551506	
-4.3837	3.6057	1.3112	4.5384	-6.5445	3.7283	0.0455	0.575649	0.669644	-1.02781	0.266505	550	-295.1	21124.4	26420.5	-15980.2	-23808.1	3.09139e+06	3.07793e+06	0.000392276	0.000396846	
-4.0196	1.4732	4.639	-2.6346	2.6184	7.3286	0.0397	-0.586306	0.520205	0.516662	-0.0772054	550	-295.1	22594.3	24478.5	-9061.14	-10366.3	3.0847e+06	3.07228e+06	0.000389239	0.000396914	
-27.1125	-14.1386	0.3261	-0.7561	-2.2312	3.4918	0.0104	4.83618	-0.487703	4.97016	0.0381198	550	-295.1	178780	189756	88290.7	98079.3	3.08612e+06	3.07676e+06	0.000397523	0.00039794	
7.0917	-8.1807	4.1866	-4.8489	-8.2436	3.0614	0.0593	-1.17115	0.138311	-1.35092	0.105153	550	-295.1	-34958.6	-49111.8	47461.6	51872.1	3.08495e+06	3.0732e+06	0.000390945	0.000396728	
18.2395	-11.0638	4.9442	6.4734	2.5867	3.6143	0.0362	-0.681913	-0.377706	3.09552	0.512172	550	-295.1	-100723	-130191	54698.9	74383.6	3.08264e+06	3.06986e+06	0.000391101	0.000397391	
-15.4189	-4.4829	4.5642	4.4258	1.0476	6.0276	0.0335	1.26244	0.803812	0.918464	0.242967	550	-295.1	79837.9	97188.6	22333.3	26029.9	3.08375e+06	3.07205e+06	0.000390556	0.000396805	
-0.476	8.0263	2.1238	-0.7431	3.0295	4.3186	0.0167	-0.1302	-0.243535	0.981677	-0.434312	550	-295.1	2870.77	1404.78	-44480.1	-50852.7	3.08987e+06	3.07603e+06	0.000392014	0.000397196	
-15.5037	0.7967	2.6853	-5.6494	1.0145	6.6032	0.045	-0.933366	0.163818	0.0283041	0.57078	550	-295.1	86550.1	100236	-4571.78	-8300.13	3.08804e+06	3.07492e+06	0.000392236	0.000397259	
0.5447	3.6766	2.5128	-0.7464	1.0839	2.5119	0.0047	-0.116277	-0.4241	0.411064	-0.370412	550	-295.1	-2530.94	-4970.99	-20091.8	-23965.7	3.08907e+06	3.07568e+06	0.000391684	0.00039769	
4.0162	5.4431	2.9953	0.1745	1.4856	2.2813	0.0044	0.105351	-0.282497	0.421578	-0.313292	550	-295.1	-21341.8	-26313	-29606.8	-33676.2	3.08873e+06	3.07581e+06	0.000391735	0.000397702	
